"token"
"	"
" "
"!"
""""
"#"
"$"
"%"
"&"
"'"
"("
")"
"*"
"+"
","
"-"
"."
"/"
"0"
"0A"
"0_0"
"0a"
"0a0"
"0aA"
":"
";"
"<"
"="
">"
"?"
"@"
"A"
"A0"
"A0_A"
"A_0"
"A_0_0"
"A_A"
"Aa"
"Aa0"
"Aa0Aa"
"AaA"
"Aa_a"
"String"
"["
"\"
"]"
"^"
"_"
"_A"
"a"
"a0"
"a0Aa"
"a0a"
"aA"
"aAa"
"aAa0"
"aAa0Aa"
"aAaA"
"a_A"
"a_a"
"abstract"
"assert"
"boolean"
"break"
"byte"
"case"
"catch"
"char"
"class"
"continue"
"default"
"do"
"double"
"else"
"enum"
"extends"
"final"
"finally"
"float"
"for"
"if"
"implements"
"import"
"instanceof"
"int"
"interface"
"long"
"native"
"new"
"package"
"private"
"protected"
"public"
"return"
"short"
"static"
"super"
"switch"
"synchronized"
"this"
"throw"
"throws"
"transient"
"try"
"void"
"volatile"
"while"
"{"
"|"
"}"
